Hora,LOG M2,LOG M3
11:24:19.031,7.947677993646873e-12,1.7077724374801805e-12
11:24:19.406,7.590541216813379e-12,1.7077724374801805e-12
11:24:20.39,7.947677993646873e-12,1.7077724374801805e-12
11:24:21.406,8.169975893989686e-12,1.7077724374801805e-12
11:24:22.39,8.169975893989686e-12,1.7077724374801805e-12
11:24:23.421,8.476075007448051e-12,1.7077724374801805e-12
11:24:24.421,8.713152261812122e-12,1.7077724374801805e-12
11:24:25.406,8.476075007448051e-12,1.7077724374801805e-12
11:24:26.39,8.476075007448051e-12,1.7077724374801805e-12
11:24:27.39,8.793642535070104e-12,1.7077724374801805e-12
11:24:28.406,8.793642535070104e-12,1.7077724374801805e-12
11:24:29.39,9.292441412632877e-12,1.7077724374801805e-12
11:24:30.453,9.207385516222021e-12,1.7077724374801805e-12
11:24:31.406,9.552352573696241e-12,1.7077724374801805e-12
11:24:32.39,9.729653000084742e-12,1.7077724374801805e-12
11:24:33.39,9.910244285029341e-12,1.7077724374801805e-12
11:24:34.437,1.0472380969628224e-11,1.7077724374801805e-12
11:24:35.437,1.0376524809618832e-11,1.7077724374801805e-12
11:24:36.421,1.0965108995000308e-11,1.7077724374801805e-12
11:24:37.406,1.0864742779772566e-11,1.7077724374801805e-12
11:24:38.406,1.0965108995000308e-11,1.7077724374801805e-12
11:24:39.39,1.1481019991627083e-11,1.7077724374801805e-12
11:24:40.406,1.1375931522005881e-11,1.7077724374801805e-12
11:24:41.39,1.1481019991627083e-11,1.7077724374801805e-12
11:24:42.406,1.1802146066434431e-11,1.7077724374801805e-12
11:24:43.39,1.202120472384206e-11,1.7077724374801805e-12
11:24:44.437,1.2586805276701104e-11,1.7077724374801805e-12
11:24:45.421,1.24715952949301e-11,1.7077724374801805e-12
11:24:46.406,1.3179017470634689e-11,1.7077724374801805e-12
11:24:47.39,1.305838683170974e-11,1.7077724374801805e-12
11:24:49.031,1.342363212434418e-11,1.7077724374801805e-12
11:24:49.406,1.3547636822682574e-11,1.7077724374801805e-12
11:24:50.39,1.3547636822682574e-11,1.7077724374801805e-12
11:24:51.421,1.4581814800856972e-11,1.7077724374801805e-12
11:24:52.39,1.4581814800856972e-11,1.7077724374801805e-12
11:24:53.39,1.5128142065596974e-11,1.7077724374801805e-12
11:24:54.39,1.5408934259771506e-11,1.7077724374801805e-12
11:24:55.39,1.56949382146478e-11,1.7077724374801805e-12
11:24:56.421,1.598625066528552e-11,1.7077724374801805e-12
11:24:57.421,1.56949382146478e-11,1.7077724374801805e-12
11:24:58.39,1.6585197004866143e-11,1.7077724374801805e-12
11:24:59.39,1.673840757652211e-11,1.7077724374801805e-12
11:25:00.453,1.6585197004866143e-11,1.7077724374801805e-12
11:25:01.406,1.673840757652211e-11,1.7077724374801805e-12
11:25:02.39,1.7206583673026962e-11,1.7077724374801805e-12
11:25:03.39,1.752595365004378e-11,1.7077724374801805e-12
11:25:04.406,1.7687854734290942e-11,1.7077724374801805e-12
11:25:05.39,1.8016157543687245e-11,1.7077724374801805e-12
11:25:06.39,1.852007252330868e-11,1.7077724374801805e-12
11:25:07.39,1.8863822058284115e-11,1.7077724374801805e-12
11:25:08.39,1.8863822058284115e-11,1.7077724374801805e-12
11:25:09.39,1.9570580472678475e-11,1.7077724374801805e-12
11:25:10.406,1.9570580472678475e-11,1.7077724374801805e-12
11:25:11.39,2.068067603706977e-11,1.7077724374801805e-12
11:25:12.406,2.0303818539752753e-11,1.7077724374801805e-12
11:25:13.421,2.0491380957272736e-11,1.7077724374801805e-12
11:25:14.453,2.1653706783053688e-11,1.7077724374801805e-12
11:25:15.39,2.2055619444453853e-11,1.7077724374801805e-12
11:25:16.39,2.2464991973534623e-11,1.7077724374801805e-12
11:25:17.39,2.2881962832283058e-11,1.7077724374801805e-12
11:25:19.031,2.2464991973534623e-11,1.7077724374801805e-12
11:25:19.406,2.2881962832283058e-11,1.7077724374801805e-12
11:25:20.39,2.3739266284341074e-11,1.7077724374801805e-12
11:25:21.406,2.352197521041463e-11,1.7077724374801805e-12
11:25:22.39,2.4628689760992275e-11,1.7077724374801805e-12
11:25:23.39,2.5085820835492005e-11,1.7077724374801805e-12
11:25:24.39,2.5085820835492005e-11,1.7077724374801805e-12
11:25:25.39,2.5551436682072638e-11,1.7077724374801805e-12
11:25:26.39,2.60256947858873e-11,1.7077724374801805e-12
